action_times,actions,button_pressed,correct,env,path,pr_freq,prs,pseudo_rewards,questions,responses,returns,rewards,rt,score,stars,stimulus,time_elapsed,trial,trial_id,trial_index,trial_type,view_history,worker_id,assignment_id,pid
"[11126, 12625, 13609, 14457, 15162, 16656]","['down', 'down', 'down', 'up', 'down', 'down']",,,static/json/pachinko_2.json,"['0_0', '1_1', '2_1', '3_2', '4_1', '5_2', '6_2']",3.0,"[28, 0]",static/json/pseudo_rewards_8.json,,,"{'2': 3, '6': 39, '1': -22}","[0, 2, 9, 5, 7, 7]","[11095, 978, 459, 320, 185, 980]",30.0,28.0,,408861,10.0,,0.0,graph,,A12FCLCVIM2CL3,3IQ1VMJRYTKORPF634YDRYFPNERA9M,0
"[1776, 4329, 5754, 11338, 12834, 13777]","['up', 'up', 'up', 'down', 'up', 'down']",,,static/json/pachinko_0.json,"['0_2', '1_2', '2_1', '3_1', '4_1', '5_1', '6_1']",1.0,"[38, 39, 35, 34, 35, 0]",static/json/pseudo_rewards_0.json,,,"{'2': 23, '6': 38, '1': -1}","[0, -1, -1, 1, -1, 35]","[1768, 2024, 901, 5059, 983, 429]",33.0,181.0,,425106,0.0,,1.0,graph,,A12FCLCVIM2CL3,3IQ1VMJRYTKORPF634YDRYFPNERA9M,0
"[2116, 3043, 6651, 7483, 15252, 16043]","['down', 'down', 'up', 'down', 'down', 'up']",,,static/json/pachinko_25.json,"['0_0', '1_1', '2_1', '3_1', '4_1', '5_2', '6_1']",2.0,"[20, 17, 0]",static/json/pseudo_rewards_76.json,,,"{'2': 10, '6': 26, '1': -1}","[0, 6, 5, -2, -6, 23]","[2106, 420, 3091, 312, 7258, 272]",26.0,37.0,,443627,101.0,,2.0,graph,,A12FCLCVIM2CL3,3IQ1VMJRYTKORPF634YDRYFPNERA9M,0
"[4609, 5706, 12274, 12963, 16964, 17747]","['down', 'down', 'down', 'up', 'up', 'up']",,,static/json/pachinko_33.json,"['0_1', '1_2', '2_2', '3_3', '4_2', '5_2', '6_1']",2.0,"[29, 27, 0]",static/json/pseudo_rewards_100.json,,,"{'2': 15, '6': 30, '1': -9}","[1, 0, 0, 2, 17, 10]","[4601, 586, 6051, 177, 3474, 265]",30.0,56.0,,463901,133.0,,3.0,graph,,A12FCLCVIM2CL3,3IQ1VMJRYTKORPF634YDRYFPNERA9M,0
"[1910, 2533, 5556, 6085, 7502, 8502]","['down', 'down', 'down', 'down', 'up', 'up']",,,static/json/pachinko_9.json,"['0_1', '1_2', '2_2', '3_3', '4_3', '5_3', '6_2']",2.0,"[28, 18, 0]",static/json/pseudo_rewards_28.json,,,"{'2': 3, '6': 27, '1': -15}","[-1, 0, 0, 10, 17, 1]","[1899, 111, 2504, 11, 888, 480]",27.0,46.0,,476059,37.0,,4.0,graph,,A12FCLCVIM2CL3,3IQ1VMJRYTKORPF634YDRYFPNERA9M,0
"[2811, 6081, 7401, 8697, 9833, 10689]","['down', 'down', 'down', 'down', 'down', 'down']",,,static/json/pachinko_24.json,"['0_0', '1_1', '2_1', '3_2', '4_2', '5_3', '6_3']",1.0,"[27, 31, 41, 39, 26, 0]",static/json/pseudo_rewards_72.json,,,"{'2': 16, '6': 29, '1': -3}","[2, -4, -10, 2, 13, 26]","[2802, 2716, 789, 751, 608, 335]",29.0,164.0,,489484,96.0,,5.0,graph,,A12FCLCVIM2CL3,3IQ1VMJRYTKORPF634YDRYFPNERA9M,0
"[2648, 3278, 6766, 7439, 9031, 9599]","['up', 'down', 'down', 'down', 'down', 'up']",,,static/json/pachinko_17.json,"['0_1', '1_1', '2_1', '3_2', '4_2', '5_3', '6_2']",2.0,"[27, 22, 0]",static/json/pseudo_rewards_52.json,,,"{'2': 9, '6': 28, '1': -8}","[0, 0, 3, 2, 18, 4]","[2627, 115, 2955, 162, 1078, 55]",27.0,49.0,,501657,69.0,,6.0,graph,,A12FCLCVIM2CL3,3IQ1VMJRYTKORPF634YDRYFPNERA9M,0
"[5351, 5981, 6908, 12397, 13701, 14485]","['down', 'down', 'down', 'down', 'down', 'down']",,,static/json/pachinko_14.json,"['0_0', '1_1', '2_1', '3_2', '4_2', '5_3', '6_3']",3.0,"[18, 0]",static/json/pseudo_rewards_44.json,,,"{'2': 10, '6': 21, '1': -2}","[0, -4, 6, 2, -2, 11]","[5342, 105, 414, 4962, 754, 277]",13.0,18.0,,518931,58.0,,7.0,graph,,A12FCLCVIM2CL3,3IQ1VMJRYTKORPF634YDRYFPNERA9M,0
"[1289, 2623, 3823, 6151, 7751, 8791]","['down', 'down', 'up', 'up', 'up', 'up']",,,static/json/pachinko_32.json,"['0_1', '1_2', '2_2', '3_2', '4_1', '5_1', '6_0']",1.0,"[34, 33, 28, 31, 8, 0]",static/json/pseudo_rewards_96.json,,,"{'2': 1, '6': 34, '1': -12}","[0, 1, 5, -3, 23, 8]","[1279, 799, 677, 1802, 1089, 522]",34.0,134.0,,530596,128.0,,8.0,graph,,A12FCLCVIM2CL3,3IQ1VMJRYTKORPF634YDRYFPNERA9M,0
"[5724, 6541, 7203, 10292, 10877, 11453]","['down', 'down', 'down', 'up', 'down', 'down']",,,static/json/pachinko_22.json,"['0_0', '1_1', '2_1', '3_2', '4_1', '5_2', '6_2']",3.0,"[34, 0]",static/json/pseudo_rewards_68.json,,,"{'2': 10, '6': 30, '1': -10}","[0, -1, -3, 4, 13, 0]","[5711, 302, 148, 2564, 71, 63]",13.0,34.0,,546812,90.0,,9.0,graph,,A12FCLCVIM2CL3,3IQ1VMJRYTKORPF634YDRYFPNERA9M,0
"[3065, 4250, 5033, 5881, 6489, 7120]","['up', 'down', 'up', 'down', 'up', 'up']",,,static/json/pachinko_29.json,"['0_3', '1_3', '2_3', '3_3', '4_3', '5_3', '6_2']",2.0,"[35, 37, 0]",static/json/pseudo_rewards_88.json,,,"{'2': 7, '6': 27, '1': -37}","[-2, -6, 3, -5, 12, 25]","[3055, 674, 264, 339, 83, 111]",27.0,72.0,,556147,117.0,,10.0,graph,,A12FCLCVIM2CL3,3IQ1VMJRYTKORPF634YDRYFPNERA9M,0
