action_times,actions,button_pressed,correct,env,path,pr_freq,prs,pseudo_rewards,questions,responses,returns,rewards,rt,score,stars,stimulus,time_elapsed,trial,trial_id,trial_index,trial_type,view_history,worker_id,assignment_id,pid
,,,,,,,,,,,,,340714,,,,340730,,,,instructions,"[{""page_index"":0,""viewing_time"":99706},{""page_index"":1,""viewing_time"":203159},{""page_index"":2,""viewing_time"":29324},{""page_index"":3,""viewing_time"":5066},{""page_index"":4,""viewing_time"":3459}]",A12FCLCVIM2CL3,3IQ1VMJRYTKORPF634YDRYFPNERA9M,0
,,,,,,,,,,,,,12767,,,,381367,,,,instructions,"[{""page_index"":0,""viewing_time"":1931},{""page_index"":1,""viewing_time"":933},{""page_index"":2,""viewing_time"":1008},{""page_index"":3,""viewing_time"":1202},{""page_index"":2,""viewing_time"":5530},{""page_index"":3,""viewing_time"":960},{""page_index"":4,""viewing_time"":1202}]",A12FCLCVIM2CL3,3IQ1VMJRYTKORPF634YDRYFPNERA9M,0
,,,,,,,,,,,,,51761,,,,51772,,,,instructions,"[{""page_index"":0,""viewing_time"":11992},{""page_index"":1,""viewing_time"":4055},{""page_index"":2,""viewing_time"":16114},{""page_index"":3,""viewing_time"":18199},{""page_index"":4,""viewing_time"":1400}]",A12R2U6TBB3OOG,30LSNF239UVSXND5UJBBY9VUUFX2IZ,1
,,,,,,,,,,,,,293274,,,,293312,,,,instructions,"[{""page_index"":0,""viewing_time"":92992},{""page_index"":1,""viewing_time"":41063},{""page_index"":2,""viewing_time"":70761},{""page_index"":3,""viewing_time"":70495},{""page_index"":4,""viewing_time"":17960}]",A13XXMDHOULEZ7,38BQUHLA9W0S0DS12W70XF5ECTDOM7,2
,,,,,,,,,,,,,229589,,,,229610,,,,instructions,"[{""page_index"":0,""viewing_time"":148470},{""page_index"":1,""viewing_time"":13007},{""page_index"":2,""viewing_time"":24328},{""page_index"":3,""viewing_time"":39247},{""page_index"":4,""viewing_time"":4536}]",A16HSMUJ7C7QA7,3KJYX6QCM9BXPPVD0BGMCF754T9JVW,3
,,,,,,,,,,,,,944051,,,,944059,,,,instructions,"[{""page_index"":0,""viewing_time"":675207},{""page_index"":1,""viewing_time"":6469},{""page_index"":2,""viewing_time"":24849},{""page_index"":3,""viewing_time"":48314},{""page_index"":4,""viewing_time"":189212}]",A1A2X0T1XE8K89,3U5JL4WY5K9ZQWHNXJU0UYF726X4XX,4
,,,,,,,,,,,,,20699,,,,1130042,,,,instructions,"[{""page_index"":0,""viewing_time"":4284},{""page_index"":1,""viewing_time"":1493},{""page_index"":2,""viewing_time"":12942},{""page_index"":3,""viewing_time"":1018},{""page_index"":4,""viewing_time"":962}]",A1A2X0T1XE8K89,3U5JL4WY5K9ZQWHNXJU0UYF726X4XX,4
,,,,,,,,,,,,,8710,,,,1168453,,,,instructions,"[{""page_index"":0,""viewing_time"":2136},{""page_index"":1,""viewing_time"":1122},{""page_index"":2,""viewing_time"":3428},{""page_index"":3,""viewing_time"":1110},{""page_index"":4,""viewing_time"":914}]",A1A2X0T1XE8K89,3U5JL4WY5K9ZQWHNXJU0UYF726X4XX,4
,,,,,,,,,,,,,76242,,,,1249905,,,,instructions,"[{""page_index"":0,""viewing_time"":2758},{""page_index"":1,""viewing_time"":3576},{""page_index"":2,""viewing_time"":59094},{""page_index"":3,""viewing_time"":1528},{""page_index"":2,""viewing_time"":7474},{""page_index"":3,""viewing_time"":976},{""page_index"":4,""viewing_time"":836}]",A1A2X0T1XE8K89,3U5JL4WY5K9ZQWHNXJU0UYF726X4XX,4
,,,,,,,,,,,,,122598,,,,122614,,,,instructions,"[{""page_index"":0,""viewing_time"":18080},{""page_index"":1,""viewing_time"":20555},{""page_index"":2,""viewing_time"":30543},{""page_index"":3,""viewing_time"":48534},{""page_index"":4,""viewing_time"":4885}]",A1C0H8G0YI15MN,3NGI5ARFTT5DPOIDOA1H2NM1ONEP1H,5
,,,,,,,,,,,,,96643,,,,96668,,,,instructions,"[{""page_index"":0,""viewing_time"":25571},{""page_index"":1,""viewing_time"":10351},{""page_index"":2,""viewing_time"":23520},{""page_index"":3,""viewing_time"":30288},{""page_index"":4,""viewing_time"":6912}]",A1DJNUJZN8FE7N,3VE8AYVF8MXJ9BD49SER53V50OMF8F,6
