action_times,actions,button_pressed,correct,env,path,pr_freq,prs,pseudo_rewards,questions,responses,returns,rewards,rt,score,stars,stimulus,time_elapsed,trial,trial_id,trial_index,trial_type,view_history,worker_id,assignment_id,pid
,,,"[True, False]",,,,,,"[""What will your bonus be based on?"",""What does it mean for a location to have 7 stars on it?""]","[""Profit"",""You can earn a maximum of $7 in the entire round if you visit that location""]",,,24329,,,,367571,,,,survey-multi-choice,,A12FCLCVIM2CL3,3IQ1VMJRYTKORPF634YDRYFPNERA9M,0
,,,"[True, True]",,,,,,"[""What will your bonus be based on?"",""What does it mean for a location to have 7 stars on it?""]","[""Profit"",""You can earn a maximum of $7 after visiting that location""]",,,4860,,,,387256,,,,survey-multi-choice,,A12FCLCVIM2CL3,3IQ1VMJRYTKORPF634YDRYFPNERA9M,0
,,,"[True, True]",,,,,,"[""What will your bonus be based on?"",""What does it mean for a location to have 7 stars on it?""]","[""Profit"",""You can earn a maximum of $7 after visiting that location""]",,,10108,,,,62894,,,,survey-multi-choice,,A12R2U6TBB3OOG,30LSNF239UVSXND5UJBBY9VUUFX2IZ,1
,,,"[True, True]",,,,,,"[""What will your bonus be based on?"",""What does it mean for a location to have 7 stars on it?""]","[""Profit"",""You can earn a maximum of $7 after visiting that location""]",,,133518,,,,427862,,,,survey-multi-choice,,A13XXMDHOULEZ7,38BQUHLA9W0S0DS12W70XF5ECTDOM7,2
,,,"[True, True]",,,,,,"[""What will your bonus be based on?"",""What does it mean for a location to have 7 stars on it?""]","[""Profit"",""You can earn a maximum of $7 after visiting that location""]",,,26004,,,,256630,,,,survey-multi-choice,,A16HSMUJ7C7QA7,3KJYX6QCM9BXPPVD0BGMCF754T9JVW,3
,,,"[False, False]",,,,,,"[""What will your bonus be based on?"",""What does it mean for a location to have 7 stars on it?""]","[""Both profit and stars"",""You will receive $70 for visiting that location""]",,,161794,,,,1108313,,,,survey-multi-choice,,A1A2X0T1XE8K89,3U5JL4WY5K9ZQWHNXJU0UYF726X4XX,4
,,,"[False, True]",,,,,,"[""What will your bonus be based on?"",""What does it mean for a location to have 7 stars on it?""]","[""Both profit and stars"",""You can earn a maximum of $7 after visiting that location""]",,,25192,,,,1158726,,,,survey-multi-choice,,A1A2X0T1XE8K89,3U5JL4WY5K9ZQWHNXJU0UYF726X4XX,4
,,,"[False, False]",,,,,,"[""What will your bonus be based on?"",""What does it mean for a location to have 7 stars on it?""]","[""Both profit and stars"",""You can earn a maximum of $7 in the entire round if you visit that location""]",,,3185,,,,1172648,,,,survey-multi-choice,,A1A2X0T1XE8K89,3U5JL4WY5K9ZQWHNXJU0UYF726X4XX,4
,,,"[True, True]",,,,,,"[""What will your bonus be based on?"",""What does it mean for a location to have 7 stars on it?""]","[""Profit"",""You can earn a maximum of $7 after visiting that location""]",,,3593,,,,1254509,,,,survey-multi-choice,,A1A2X0T1XE8K89,3U5JL4WY5K9ZQWHNXJU0UYF726X4XX,4
,,,"[True, True]",,,,,,"[""What will your bonus be based on?"",""What does it mean for a location to have 7 stars on it?""]","[""Profit"",""You can earn a maximum of $7 after visiting that location""]",,,28566,,,,152204,,,,survey-multi-choice,,A1C0H8G0YI15MN,3NGI5ARFTT5DPOIDOA1H2NM1ONEP1H,5
,,,"[True, True]",,,,,,"[""What will your bonus be based on?"",""What does it mean for a location to have 7 stars on it?""]","[""Profit"",""You can earn a maximum of $7 after visiting that location""]",,,14277,,,,111966,,,,survey-multi-choice,,A1DJNUJZN8FE7N,3VE8AYVF8MXJ9BD49SER53V50OMF8F,6
,,,"[True, True]",,,,,,"[""What will your bonus be based on?"",""What does it mean for a location to have 7 stars on it?""]","[""Profit"",""You can earn a maximum of $7 after visiting that location""]",,,32138,,,,146685,,,,survey-multi-choice,,A1H72Y9Z5NJXDS,3K3R2QNK8B386YT499F4RZRJUGV9U7,7
,,,"[True, True]",,,,,,"[""What will your bonus be based on?"",""What does it mean for a location to have 7 stars on it?""]","[""Profit"",""You can earn a maximum of $7 after visiting that location""]",,,11992,,,,96101,,,,survey-multi-choice,,A1I9ZBV75AVWUS,3VHP9MDGRNKLLE3HQ4UW7PROQEICFR,8
,,,"[True, True]",,,,,,"[""What will your bonus be based on?"",""What does it mean for a location to have 7 stars on it?""]","[""Profit"",""You can earn a maximum of $7 after visiting that location""]",,,12546,,,,93542,,,,survey-multi-choice,,A1ME089VLGOBBI,3UWN2HHPUY5DGN5ULE39UZ4FE9JSN3,9
,,,"[False, True]",,,,,,"[""What will your bonus be based on?"",""What does it mean for a location to have 7 stars on it?""]","[""Both profit and stars"",""You can earn a maximum of $7 after visiting that location""]",,,31074,,,,127916,,,,survey-multi-choice,,A1MTRZDRKNB9GV,35GMH2SV3EHUOP0OLYJHK7053RMEO8,10
,,,"[False, False]",,,,,,"[""What will your bonus be based on?"",""What does it mean for a location to have 7 stars on it?""]","[""Both profit and stars"",""You can earn a maximum of $7 in the entire round if you visit that location""]",,,13687,,,,204448,,,,survey-multi-choice,,A1MTRZDRKNB9GV,35GMH2SV3EHUOP0OLYJHK7053RMEO8,10
,,,"[False, False]",,,,,,"[""What will your bonus be based on?"",""What does it mean for a location to have 7 stars on it?""]","[""Both profit and stars"",""You will receive $70 for visiting that location""]",,,4326,,,,220256,,,,survey-multi-choice,,A1MTRZDRKNB9GV,35GMH2SV3EHUOP0OLYJHK7053RMEO8,10
,,,"[True, True]",,,,,,"[""What will your bonus be based on?"",""What does it mean for a location to have 7 stars on it?""]","[""Profit"",""You can earn a maximum of $7 after visiting that location""]",,,10142,,,,239702,,,,survey-multi-choice,,A1MTRZDRKNB9GV,35GMH2SV3EHUOP0OLYJHK7053RMEO8,10
,,,"[True, True]",,,,,,"[""What will your bonus be based on?"",""What does it mean for a location to have 7 stars on it?""]","[""Profit"",""You can earn a maximum of $7 after visiting that location""]",,,193822,,,,309208,,,,survey-multi-choice,,A1N4AZ1QXPOPXH,3R5F3LQFV2KSZKRKHLXU5H1NRXVOZO,11
,,,"[True, False]",,,,,,"[""What will your bonus be based on?"",""What does it mean for a location to have 7 stars on it?""]","[""Profit"",""You can earn a maximum of $7 in the entire round if you visit that location""]",,,18149,,,,71669,,,,survey-multi-choice,,A1NKBXOTZAI1YK,3VJ40NV2QINWD8ILBT8CJT06619OT8,12
,,,"[True, True]",,,,,,"[""What will your bonus be based on?"",""What does it mean for a location to have 7 stars on it?""]","[""Profit"",""You can earn a maximum of $7 after visiting that location""]",,,6462,,,,96741,,,,survey-multi-choice,,A1NKBXOTZAI1YK,3VJ40NV2QINWD8ILBT8CJT06619OT8,12
